kp,Ap,KP-MAX,KP-MIN,KP-AVE,SUNSPOTS
1-augst,4,2,0,1.125,0
2,4,2,0,1.125,12
3,10,4,0,2,13
4,22,4,2,3.375,13
5,15,4,2,3.125,13
6,12,4,1,2.375,13
7,4,2,0,1.375,11
8,4,2,0,1.125,11
9,4,1,0,0.75,11
10,4,2,0,1,11
11,7,3,1,1.625,11
12,9,3,1,2.125,11
13,6,2,1,1.75,11
14,4,2,0,1,12
15,2,1,0,0.375,21
16,5,2,1,1.25,30
17,24,5,2,3.875,30
18,20,5,2,3.375,41
19,29,5,3,4,33
20,20,5,2,3.125,44
21,9,3,1,2.25,43
22,17,5,2,3,48
23,23,5,2,3.625,40
24,10,4,0,2,43
25,4,2,0,1.125,39
26,3,1,0,0.625,35
27,8,3,0,1.875,22
28,2,1,0,0.75,17
29,8,4,1,1.625,35
30,3,2,0,0.75,42
31,30,5,2,3.875,59
