kp,0h-3h,3h-6h,6h-9h,9h-12h,12h-15h,15h-18h,18h-21h,21h-00h,Ap,,KP-MAX,KP-MIN,KP-AVE,SUNSPOTS
1-May,2,2,0,0,0,1,1,2,4,,2,0,1,11
2,1,2,0,1,0,0,0,2,4,,2,0,0.75,25
3,1,1,0,1,1,1,0,0,3,,1,0,0.625,15
4,0,1,2,1,1,0,1,3,5,,3,0,1.125,29
5,3,2,0,1,1,0,0,0,4,,3,0,0.875,31
6,1,2,1,1,1,0,1,1,4,,2,0,1,26
7,2,3,2,1,1,1,3,2,8,,3,1,1.875,23
8,2,1,2,1,1,1,1,1,5,,2,1,1.25,11
9,1,1,1,1,2,2,1,1,5,,2,1,1.25,0
10,2,1,0,0,3,1,1,2,5,,3,0,1.25,0
11,1,3,2,1,1,1,1,2,5,,3,1,1.5,0
12,2,1,2,2,3,1,2,1,7,,3,1,1.75,0
13,0,1,1,1,1,1,1,1,4,,1,0,0.875,0
14,2,1,1,3,3,2,2,2,8,,3,1,2,0
15,0,2,2,4,2,2,4,3,12,,4,0,2.375,0
16,3,2,2,2,3,1,1,1,7,,3,1,1.875,11
17,2,2,2,2,2,1,2,2,7,,2,1,1.875,13
18,4,3,3,1,0,1,1,0,9,,4,0,1.625,24
19,2,3,2,1,2,4,4,3,12,,4,1,2.625,24
20,4,4,4,4,4,4,3,3,22,,4,3,3.75,22
21,2,3,2,2,2,1,2,2,8,,3,1,2,35
22,2,2,2,2,2,2,3,3,9,,3,2,2.25,55
23,2,3,1,1,2,1,2,2,7,,3,1,1.75,47
24,1,1,1,1,1,0,0,0,3,,1,0,0.625,15
25,0,0,0,0,1,1,0,1,2,,1,0,0.375,19
26,1,0,0,1,0,0,1,0,2,,1,0,0.375,22
27,1,0,0,0,1,3,3,6,13,,6,0,1.75,21
28,6,7,6,5,4,2,1,1,49,,7,1,4,20
29,0,1,1,2,4,3,2,1,9,,4,0,1.75,16
30,2,3,1,1,0,1,0,0,5,,3,0,1,0
31,0,1,0,0,1,1,1,1,3,,1,0,0.625,11
