kp,00-03h,03-06h,06-09h,09-12h,12-15h,15-18h,18-21h,21-00h,Ap,,KP-MAX,KP-MIN,KP-AVE,SUNSPOTS
1-Oct,3,2,3,2,2,3,2,3,11,,3,2,2.5,34
2,1,3,1,2,1,0,0,0,5,,3,0,1,25
3,2,3,3,1,0,0,0,1,6,,3,0,1.25,25
4,2,2,0,0,0,0,2,2,5,,2,0,1,27
5,3,1,0,0,0,1,1,3,6,,3,0,1.125,26
6,3,3,1,1,2,2,1,2,8,,3,1,1.875,22
7,1,0,0,0,1,1,2,1,3,,2,0,0.75,11
8,1,2,0,0,0,0,0,1,3,,2,0,0.5,0
9,2,0,0,0,0,0,0,0,1,,2,0,0.25,0
10,0,0,0,0,0,0,0,2,2,,2,0,0.25,0
11,3,4,5,4,4,5,4,4,28,,5,3,4.125,0
12,5,3,4,4,4,3,3,4,26,,5,3,3.75,0
13,3,4,2,3,6,5,6,5,37,,6,2,4.25,0
14,5,4,5,5,4,4,3,3,30,,5,3,4.125,0
15,4,5,3,4,4,4,3,1,25,,5,1,3.5,12
16,2,3,2,2,1,1,3,2,8,,3,1,2,0
17,1,1,1,1,2,1,1,1,5,,2,1,1.125,0
18,1,2,1,1,1,0,1,2,4,,2,0,1.125,0
19,3,2,2,2,2,4,3,3,12,,4,2,2.625,0
20,4,2,2,1,2,0,1,2,7,,4,0,1.75,0
21,1,2,2,2,2,2,2,3,8,,3,1,2,11
22,3,2,0,1,1,1,1,2,6,,3,0,1.375,13
23,2,1,1,2,1,1,0,1,4,,2,0,1.125,23
24,2,1,2,3,4,5,2,5,18,,5,1,3,23
25,4,4,5,3,2,2,3,3,19,,5,2,3.25,24
26,3,2,4,3,4,4,3,1,17,,4,1,3,23
27,2,1,1,1,0,0,1,1,4,,2,0,0.875,23
28,1,2,1,2,1,1,1,1,5,,2,1,1.25,22
29,1,2,0,0,1,0,1,0,3,,2,0,0.625,23
30,1,1,0,0,0,0,0,1,2,,1,0,0.375,22
31,1,0,0,0,2,0,0,0,2,,2,0,0.375,11
